Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Acute Otitis Media,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acute Pancreatitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acute Respiratory Distress Syndrome (Ards),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Acute Stress Reaction,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Adhesive Capsulitis Of The Shoulder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Adjustment Reaction,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Adrenal Adenoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Adrenal Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Alcohol Abuse,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Alcohol Intoxication,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Alcohol Withdrawal,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Alcoholic Hepatitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Alcoholic Liver Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Allergy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Allergy To Animals,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Alopecia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Alzheimer Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Amblyopia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Amyloidosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Amyotrophic Lateral Sclerosis (ALS),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Amyotrophic Lateral Sclerosis (Als),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Anal Fissure,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Anal Fistula,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Anemia,Take prescribed iron or vitamin supplements,"Eat iron-rich foods (meat, beans, leafy greens)",Treat underlying cause,Get regular blood tests to monitor levels
Anemia Due To Chronic Kidney Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Anemia Due To Malignancy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Anemia Of Chronic Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Angina,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ankylosing Spondylitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Anxiety Disorder,Practice relaxation techniques and deep breathing,Seek cognitive behavioral therapy (CBT),Limit caffeine and alcohol,Take prescribed medications if indicated
Aortic Valve Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Aphakia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Aphthous Ulcer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Aplastic Anemia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Appendicitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Arrhythmia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Arthritis Of The Hip,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Ascending Cholangitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Asperger Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Aspergillosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Asthma,"Avoid asthma triggers (dust, smoke, pollen)",Keep rescue inhaler available,Use prescribed controller medications,Monitor peak flow readings
Astigmatism,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Atelectasis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Athlete'S Foot,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Atonic Bladder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Atrial Fibrillation,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Atrial Flutter,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Atrophic Skin Condition,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Atrophic Vaginitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Atrophy Of The Corpus Cavernosum,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Attention Deficit Hyperactivity Disorder (Adhd),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Autism,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Autonomic Nervous System Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Avascular Necrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Balanitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bell Palsy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Benign Kidney Cyst,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Benign Paroxysmal Positional Vertical (Bppv),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Benign Prostatic Hyperplasia (Bph),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Benign Vaginal Discharge (Leukorrhea),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bipolar Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Birth Trauma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bladder Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bladder Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bladder Obstruction,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Blepharitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Blepharospasm,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bone Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bone Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Brachial Neuritis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Brain Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Brain Hemorrhage,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Breast Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Breast Cyst,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Breast Infection (Mastitis),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Broken Tooth,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bronchiolitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bronchitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bunion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Burn,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Bursitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
COPD,Stop smoking immediately,Use prescribed inhalers,Attend pulmonary rehabilitation,Get annual flu vaccine
COVID-19,Isolate immediately if positive,Wear a mask in public,Wash hands frequently,Stay up to date with COVID-19 vaccinations
Callus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Carbon Monoxide Poisoning,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Carcinoid Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cardiac Arrest,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cardiomyopathy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Carpal Tunnel Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cat Scratch Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cataract,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Celiac Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cellulitis Or Abscess Of Mouth,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Central Atherosclerosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Central Retinal Artery Or Vein Occlusion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cerebral Edema,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cerebral Palsy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cervical Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cervical Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cervical Spondylosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cervicitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chalazion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chickenpox,Isolate to prevent spread to others,Avoid scratching blisters,Apply calamine lotion for itching,Take antiviral medication if prescribed
Chlamydia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cholecystitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Choledocholithiasis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cholesteatoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chondromalacia Of The Patella,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chorioretinitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Cholestasis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Constipation,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Glaucoma,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Inflammatory Demyelinating Polyneuropathy (Cidp),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Kidney Disease (CKD),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Knee Pain,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Liver Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Obstructive Pulmonary Disease (Copd),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Otitis Media,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Pain Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Pancreatitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Rheumatic Fever,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Chronic Ulcer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cirrhosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Coagulation (Bleeding) Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cold Sore,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Colonic Polyp,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Colorectal Cancer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Common Cold,Rest and stay hydrated,Use saline nasal rinse,Avoid contact with others to prevent spread,Take over-the-counter symptom relief as needed
Complex Regional Pain Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Concussion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Conduct Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Conductive Hearing Loss,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Congenital Heart Defect,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Congenital Malformation Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Conjunctivitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Conjunctivitis Due To Allergy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Conjunctivitis Due To Bacteria,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Conjunctivitis Due To Virus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Connective Tissue Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Contact Dermatitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Conversion Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cornea Infection,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Corneal Abrasion,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Corneal Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Coronary Artery Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Coronary Atherosclerosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cranial Nerve Palsy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Crohn's Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Croup,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Crushing Injury,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cryptococcosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cushing Syndrome,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cyst Of The Eyelid,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cystic Fibrosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cysticercosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Cystitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
De Quervain Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Decubitus Ulcer,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Deep Vein Thrombosis (Dvt),Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Degenerative Disc Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Delirium,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dementia,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dengue Fever,Eliminate mosquito breeding sites,Use mosquito repellent,Wear long-sleeved clothing,Stay hydrated and rest
Dental Caries,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Depression,Seek professional mental health treatment,Maintain regular exercise and social activity,Avoid alcohol and substance use,Follow prescribed medication regimen
Dermatitis Due To Sun Exposure,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Developmental Disability,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Deviated Nasal Septum,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Diabetes (Type 2),Monitor blood sugar regularly,Follow a balanced low-sugar diet,Exercise at least 30 minutes daily,Take medications as prescribed
Diabetes Insipidus,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Diabetic Ketoacidosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Diabetic Kidney Disease,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Diabetic Peripheral Neuropathy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Diabetic Retinopathy,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Diaper Rash,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Ankle,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Elbow,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Finger,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Foot,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Hip,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Knee,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Patella,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Shoulder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Vertebra,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dislocation Of The Wrist,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Dissociative Disorder,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Diverticulitis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
Diverticulosis,Consult a healthcare provider promptly,Follow prescribed treatment plan,Maintain a healthy lifestyle,Monitor symptoms and seek care if worsening
